"Clostridium perfringens","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium perfringens","strain"
"Clostridium perfringens ATCC 13124","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium perfringens","Clostridium perfringens ATCC 13124"
"Clostridium polyendosporum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium polyendosporum","strain"
"Clostridium polynesiense","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium polynesiense","strain"
"Clostridium puniceum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium puniceum","strain"
"Clostridium putrefaciens","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium putrefaciens","strain"
"Clostridium quinii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium quinii","strain"
"Clostridium saccharobutylicum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium saccharobutylicum","strain"
"Clostridium saccharoperbutylacetonicum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium saccharoperbutylacetonicum","strain"
"Clostridium sardiniense","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium sardiniense","strain"
"Clostridium sartagoforme","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium sartagoforme","strain"
"Clostridium saudiense","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium saudiense","strain"
"Clostridium septicum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium septicum","strain"
"Clostridium sporogenes","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium sporogenes","strain"
"Clostridium subterminale","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium subterminale","strain"
"Clostridium swellfunianum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium swellfunianum","strain"
"Clostridium tarantellae","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium tarantellae","strain"
"Clostridium tepidum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium tepidum","strain"
"Clostridium tertium","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium tertium","strain"
"Clostridium tunisiense","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium tunisiense","strain"
"Clostridium uliginosum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium uliginosum","strain"
"Clostridium vincentii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium vincentii","strain"
"Clostridium vulturis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium vulturis","strain"
"Coenonia anatina","Bacteria","FCB group","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Coenonia","Coenonia anatina","strain"
"Cohnella candidum","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Cohnella","Cohnella candidum","strain"
"Cohnella endophytica","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Cohnella","Cohnella endophytica","strain"
"Cohnella fontinalis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Cohnella","Cohnella fontinalis","strain"
"Cohnella phaseoli","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Cohnella","Cohnella phaseoli","strain"
"Colibacter massiliensis","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Veillonellales","Veillonellaceae","Colibacter","Colibacter massiliensis","strain"
"Colidextribacter massiliensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","family","Colidextribacter","Colidextribacter massiliensis","strain"
"Companilactobacillus kimchii","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Companilactobacillus","Companilactobacillus kimchii","strain"
"Coprobacillus cateniformis JCM 10604","Bacteria","Terrabacteria group","Bacillota","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae","Coprobacillus","Coprobacillus cateniformis","Coprobacillus cateniformis JCM 10604"
"Coprococcus comes ATCC 27758","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus comes","Coprococcus comes ATCC 27758"
"Coprococcus eutactus","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus eutactus","strain"
"Corynebacterium terpenotabidum","Bacteria","Terrabacteria group","Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium terpenotabidum","strain"
"Cronobacter muytjensii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cronobacter","Cronobacter muytjensii","strain"
"Cronobacter muytjensii ATCC 51329","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cronobacter","Cronobacter muytjensii","Cronobacter muytjensii ATCC 51329"
"Cronobacter sakazakii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cronobacter","Cronobacter sakazakii","strain"
"Cronobacter turicensis z3032","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cronobacter","Cronobacter turicensis","Cronobacter turicensis z3032"
"Cryptanaerobacter phenolicus","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Desulfotomaculaceae","Cryptanaerobacter","Cryptanaerobacter phenolicus","strain"
"Culturomica massiliensis","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Culturomica","Culturomica massiliensis","strain"
"Cuneatibacter caecimuris","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Cuneatibacter","Cuneatibacter caecimuris","strain"
"Cupidesulfovibrio oxamicus","Bacteria","clade","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Cupidesulfovibrio","Cupidesulfovibrio oxamicus","strain"
"Cutibacterium acnes","Bacteria","Terrabacteria group","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium acnes","strain"
"Cytobacillus gottheilii","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Bacillaceae","Cytobacillus","Cytobacillus gottheilii","strain"
"Defluviitalea raffinosedens","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Defluviitaleaceae","Defluviitalea","Defluviitalea raffinosedens","strain"
"Defluviitalea saccharophila","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Defluviitaleaceae","Defluviitalea","Defluviitalea saccharophila","strain"
"Dehalobacter restrictus DSM 9455","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Desulfitobacteriaceae","Dehalobacter","Dehalobacter restrictus","Dehalobacter restrictus DSM 9455"
"Dendrosporobacter quercicolus","Bacteria","Terrabacteria group","Bacillota","Negativicutes","Selenomonadales","Sporomusaceae","Dendrosporobacter","Dendrosporobacter quercicolus","strain"
"Desemzia incerta","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Desemzia","Desemzia incerta","strain"
"Desnuesiella massiliensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Desnuesiella","Desnuesiella massiliensis","strain"
"Desulfitibacter alkalitolerans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptococcaceae","Desulfitibacter","Desulfitibacter alkalitolerans","strain"
"Desulfitispora elongata","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptococcaceae","Desulfitispora","Desulfitispora elongata","strain"
"Desulfitobacterium dehalogenans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Desulfitobacteriaceae","Desulfitobacterium","Desulfitobacterium dehalogenans","strain"
"Desulfitobacterium hafniense DCB-2","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Desulfitobacteriaceae","Desulfitobacterium","Desulfitobacterium hafniense","Desulfitobacterium hafniense DCB-2"
"Desulfitobacterium metallireducens","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Desulfitobacteriaceae","Desulfitobacterium","Desulfitobacterium metallireducens","strain"
"Desulfofarcimen intricatum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptococcaceae","Desulfolucianica","Desulfolucianica intricata","strain"
"Desulfohalotomaculum halophilum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptococcaceae","Desulfohalotomaculum","Desulfohalotomaculum halophilum","strain"
"Desulfohalotomaculum peckii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptococcaceae","Desulfovectis","Desulfovectis peckii","strain"
"Desulfonispora thiosulfatigenes","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptococcaceae","Desulfonispora","Desulfonispora thiosulfatigenes","strain"
"Desulfoscipio gibsoniae DSM 7213","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Desulfallaceae","Desulfoscipio","Desulfoscipio gibsoniae","Desulfoscipio gibsoniae DSM 7213"
"Desulfosporosinus acidiphilus SJ4","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Desulfitobacteriaceae","Desulfosporosinus","Desulfosporosinus acidiphilus","Desulfosporosinus acidiphilus SJ4"
"Desulfosporosinus auripigmenti","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Desulfitobacteriaceae","Desulfosporosinus","Desulfosporosinus auripigmenti","strain"
"Desulfosporosinus burensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Desulfitobacteriaceae","Desulfosporosinus","Desulfosporosinus burensis","strain"
"Desulfosporosinus fructosivorans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Desulfitobacteriaceae","Desulfosporosinus","Desulfosporosinus fructosivorans","strain"
"Desulfosporosinus hippei DSM 8344","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Desulfitobacteriaceae","Desulfosporosinus","Desulfosporosinus hippei","Desulfosporosinus hippei DSM 8344"
"Desulfosporosinus lacus","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Desulfitobacteriaceae","Desulfosporosinus","Desulfosporosinus lacus","strain"
"Desulfosporosinus orientis DSM 765","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Desulfitobacteriaceae","Desulfosporosinus","Desulfosporosinus orientis","Desulfosporosinus orientis DSM 765"
"Desulfosporosinus youngiae DSM 17734","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Desulfitobacteriaceae","Desulfosporosinus","Desulfosporosinus youngiae","Desulfosporosinus youngiae DSM 17734"
"Desulfotomaculum aeronauticum","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptococcaceae","Desulforamulus","Desulforamulus aeronauticus","strain"
"Desulfotomaculum defluvii","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Desulfotomaculaceae","Desulfotomaculum","Desulfotomaculum defluvii","strain"
"Desulfotomaculum hydrothermale","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Peptococcaceae","Desulforamulus","Desulforamulus hydrothermalis","strain"
"Desulfotomaculum ruminis DSM 2154","superkingdom","clade","phylum","class","order","family","genus","species","strain"
"Desulfovibrio desulfuricans","Bacteria","clade","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio desulfuricans","strain"
"Desulfovibrio intestinalis","Bacteria","clade","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio intestinalis","strain"
"Desulfovibrio longreachensis","Bacteria","clade","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio longreachensis","strain"
"Desulfovibrio magneticus RS-1","Bacteria","clade","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Solidesulfovibrio","Solidesulfovibrio magneticus","Solidesulfovibrio magneticus RS-1"
"Desulfovibrio piger","Bacteria","clade","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio piger","strain"
"Desulfovibrio simplex","Bacteria","clade","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio simplex","strain"
"Desulfovibrio vulgaris","Bacteria","clade","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio vulgaris","strain"
"Desulfovibrio vulgaris str. Hildenborough","Bacteria","clade","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio vulgaris","Desulfovibrio vulgaris str. Hildenborough"
"Desulfuribacillus alkaliarsenatis","Bacteria","Terrabacteria group","Bacillota","Desulfuribacillia","Desulfuribacillales","Desulfuribacillaceae","Desulfuribacillus","Desulfuribacillus alkaliarsenatis","strain"
"Desulfuribacillus stibiiarsenatis","Bacteria","Terrabacteria group","Bacillota","Desulfuribacillia","Desulfuribacillales","Desulfuribacillaceae","Desulfuribacillus","Desulfuribacillus stibiiarsenatis","strain"
"Dethiosulfatibacter aminovorans","Bacteria","Terrabacteria group","Bacillota","Tissierellia","order","family","Dethiosulfatibacter","Dethiosulfatibacter aminovorans","strain"
"Dickeya chrysanthemi","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Dickeya","Dickeya chrysanthemi","strain"
"Dielma fastidiosa","Bacteria","Terrabacteria group","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Dielma","Dielma fastidiosa","strain"
"Dorea formicigenerans","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Dorea","Dorea formicigenerans","strain"
"Dorea longicatena","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Dorea","Dorea longicatena","strain"
"Drancourtella massiliensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Drancourtella","Drancourtella massiliensis","strain"
"Duodenibacillus massiliensis","Bacteria","clade","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sutterellaceae","Duodenibacillus","Duodenibacillus massiliensis","strain"
"Dysgonomonas alginatilytica","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","Dysgonomonas alginatilytica","strain"
"Dysgonomonas capnocytophagoides","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","Dysgonomonas capnocytophagoides","strain"
"Dysgonomonas gadei ATCC BAA-286","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","Dysgonomonas gadei","Dysgonomonas gadei ATCC BAA-286"
"Dysgonomonas hofstadii","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","Dysgonomonas hofstadii","strain"
"Dysgonomonas hofstadii JCM 17038","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","Dysgonomonas hofstadii","Dysgonomonas hofstadii JCM 17038"
"Dysgonomonas macrotermitis","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","Dysgonomonas macrotermitis","strain"
"Dysgonomonas massiliensis","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","Dysgonomonas massiliensis","strain"
"Dysgonomonas mossii DSM 22836","Bacteria","FCB group","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","Dysgonomonas mossii","Dysgonomonas mossii DSM 22836"
"Edwardsiella anguillarum","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Hafniaceae","Edwardsiella","Edwardsiella anguillarum","strain"
"Edwardsiella hoshinae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Hafniaceae","Edwardsiella","Edwardsiella hoshinae","strain"
"Edwardsiella ictaluri ATCC 33202","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Hafniaceae","Edwardsiella","Edwardsiella ictaluri","Edwardsiella ictaluri ATCC 33202"
"Effusibacillus consociatus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Bacillales","Alicyclobacillaceae","Effusibacillus","Effusibacillus consociatus","strain"
"Eggerthella sinensis JCM 14551","Bacteria","Terrabacteria group","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella","Eggerthella sinensis","Eggerthella sinensis JCM 14551"
"Eisenbergiella massiliensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Eisenbergiella","Eisenbergiella massiliensis","strain"
"Eisenbergiella tayi","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Eisenbergiella","Eisenbergiella tayi","strain"
"Elusimicrobium minutum","Bacteria","clade","Elusimicrobiota","Elusimicrobia","Elusimicrobiales","Elusimicrobiaceae","Elusimicrobium","Elusimicrobium minutum","strain"
"Emergencia timonensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis","Emergencia","Emergencia timonensis","strain"
"Enterobacter asburiae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter asburiae","strain"
"Enterobacter cancerogenus","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter cancerogenus","strain"
"Enterobacter cloacae","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter cloacae","strain"
"Enterobacter cloacae subsp. dissolvens","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter cloacae","strain"
"Enterobacter hormaechei subsp. xiangfangensis","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter hormaechei","strain"
"Enterobacter kobei","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter kobei","strain"
"Enterobacter ludwigii","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter ludwigii","strain"
"Enterobacter mori","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter mori","strain"
"Enterobacter mori LMG 25706","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter mori","Enterobacter mori LMG 25706"
"Enterobacter soli ATCC BAA-2102","Bacteria","clade","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter soli","Enterobacter soli ATCC BAA-2102"
"Enterocloster aldenensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster","Enterocloster aldenensis","strain"
"Enterocloster asparagiformis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster","Enterocloster asparagiformis","strain"
"Enterocloster bolteae","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster","Enterocloster bolteae","strain"
"Enterocloster citroniae","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster","Enterocloster citroniae","strain"
"Enterocloster clostridioformis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster","Enterocloster clostridioformis","strain"
"Enterocloster lavalensis","Bacteria","Terrabacteria group","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster","Enterocloster lavalensis","strain"
"Enterococcus aquimarinus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus aquimarinus","strain"
"Enterococcus asini","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus asini","strain"
"Enterococcus avium","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus avium","strain"
"Enterococcus avium ATCC 14025","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus avium","Enterococcus avium ATCC 14025"
"Enterococcus canintestini","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus canintestini","strain"
"Enterococcus canis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus canis","strain"
"Enterococcus casseliflavus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus casseliflavus","strain"
"Enterococcus cecorum DSM 20682 = ATCC 43198","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus cecorum","Enterococcus cecorum DSM 20682 = ATCC 43198"
"Enterococcus columbae DSM 7374 = ATCC 51263","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus columbae","Enterococcus columbae DSM 7374 = ATCC 51263"
"Enterococcus devriesei","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus devriesei","strain"
"Enterococcus dispar ATCC 51266","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus dispar","Enterococcus dispar ATCC 51266"
"Enterococcus durans","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus durans","strain"
"Enterococcus eurekensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus eurekensis","strain"
"Enterococcus faecalis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis","strain"
"Enterococcus faecium","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecium","strain"
"Enterococcus gallinarum","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus gallinarum","strain"
"Enterococcus gilvus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus gilvus","strain"
"Enterococcus haemoperoxidus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus haemoperoxidus","strain"
"Enterococcus hermanniensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus hermanniensis","strain"
"Enterococcus hirae","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus hirae","strain"
"Enterococcus hirae ATCC 9790","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus hirae","Enterococcus hirae ATCC 9790"
"Enterococcus italicus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus italicus","strain"
"Enterococcus italicus DSM 15952","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus italicus","Enterococcus italicus DSM 15952"
"Enterococcus malodoratus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus malodoratus","strain"
"Enterococcus mundtii","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus mundtii","strain"
"Enterococcus pallens","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus pallens","strain"
"Enterococcus phoeniculicola","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus phoeniculicola","strain"
"Enterococcus pseudoavium","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus pseudoavium","strain"
"Enterococcus raffinosus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus raffinosus","strain"
"Enterococcus ratti","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus ratti","strain"
"Enterococcus rivorum","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus rivorum","strain"
"Enterococcus rotai","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus rotai","strain"
"Enterococcus saccharolyticus subsp. saccharolyticus","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus","strain"
"Enterococcus saccharolyticus subsp. saccharolyticus ATCC 43076","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus","Enterococcus saccharolyticus subsp. saccharolyticus ATCC 43076"
"Enterococcus saccharolyticus subsp. taiwanensis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus saccharolyticus","strain"
"Enterococcus sulfureus ATCC 49903","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus sulfureus","Enterococcus sulfureus ATCC 49903"
"Enterococcus termitis","Bacteria","Terrabacteria group","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus termitis","strain"
