"","Var1","barcode01","barcode02","barcode03","barcode04","barcode05","barcode06","barcode07","barcode08","barcode09","barcode10","barcode11","barcode12","barcode13","barcode14","barcode15","barcode16","barcode17","barcode18","barcode19","barcode20","barcode21","barcode22","barcode23","barcode24","unclassified"
"Cohnella humi","Cohnella humi",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cohnella luojiensis","Cohnella luojiensis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cohnella lupini","Cohnella lupini",0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Cohnella massiliensis","Cohnella massiliensis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cohnella panacarvi Gsoil 349","Cohnella panacarvi Gsoil 349",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cohnella phaseoli","Cohnella phaseoli",0,0,1,0,0,0,1,0,0,0,1,1,2,6,0,0,0,3,0,0,0,0,0,0,0
"Cohnella plantaginis","Cohnella plantaginis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cohnella saccharovorans","Cohnella saccharovorans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cohnella thermotolerans","Cohnella thermotolerans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
"Cohnella yongneupensis","Cohnella yongneupensis",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colibacter massiliensis","Colibacter massiliensis",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Colidextribacter massiliensis","Colidextribacter massiliensis",0,83,8,21,2,0,69,46,4,0,152,2,397,337,3,0,1,8,1,5,18,8,28,0,26
"Collinsella tanakaei YIT 12063","Collinsella tanakaei YIT 12063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,1
"Commensalibacter intestini A911","Commensalibacter intestini A911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Companilactobacillus allii","Companilactobacillus allii",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Companilactobacillus ginsenosidimutans","Companilactobacillus ginsenosidimutans",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Companilactobacillus kimchii","Companilactobacillus kimchii",0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Companilactobacillus nodensis","Companilactobacillus nodensis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Companilactobacillus versmoldensis","Companilactobacillus versmoldensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Conexibacter woesei","Conexibacter woesei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"Coprobacillus cateniformis JCM 10604","Coprobacillus cateniformis JCM 10604",0,0,2,4,2,0,0,2,5,0,6,0,21,4,1,1,0,0,0,0,3,2,0,0,2
"Coprobacter fastidiosus NSB1","Coprobacter fastidiosus NSB1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,2
"Coprobacter secundus subsp. similis","Coprobacter secundus subsp. similis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Coprococcus comes ATCC 27758","Coprococcus comes ATCC 27758",1,2,1,11,1,0,7,3,0,0,11,1,29,6,1,1,3,28,0,19,35,6,12,9,17
"Coprococcus eutactus","Coprococcus eutactus",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,1,0
"Corallincola platygyrae","Corallincola platygyrae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Corticicoccus populi","Corticicoccus populi",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium glyciniphilum AJ 3170","Corynebacterium glyciniphilum AJ 3170",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium lactis RW2-5","Corynebacterium lactis RW2-5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Corynebacterium terpenotabidum","Corynebacterium terpenotabidum",0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Corynebacterium variabile","Corynebacterium variabile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Crassaminicella profunda","Crassaminicella profunda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
"Croceibacter atlanticus","Croceibacter atlanticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Croceicoccus marinus","Croceicoccus marinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cronbergia siamensis","Cronbergia siamensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0
"Cronobacter condimenti 1330","Cronobacter condimenti 1330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Cronobacter muytjensii","Cronobacter muytjensii",0,0,0,0,0,5,0,0,0,0,0,6,0,0,1,0,0,1,0,0,1,0,0,0,1
"Cronobacter muytjensii ATCC 51329","Cronobacter muytjensii ATCC 51329",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cronobacter sakazakii","Cronobacter sakazakii",5,0,1,0,0,2,0,0,5,0,0,17,0,0,2,0,0,2,1,1,7,1,0,0,0
"Cronobacter turicensis z3032","Cronobacter turicensis z3032",1,0,2,0,0,1,0,0,1,0,0,16,0,0,0,0,0,1,1,0,0,0,0,0,0
"Cryptanaerobacter phenolicus","Cryptanaerobacter phenolicus",0,3,0,5,3,0,0,0,0,0,11,0,22,27,3,0,5,0,0,0,4,0,0,0,2
"Culturomica massiliensis","Culturomica massiliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,1,107,0,11
"Cuneatibacter caecimuris","Cuneatibacter caecimuris",0,279,1,8,8,0,42,0,2,1,877,14,995,44,22,0,235,12,2,470,85,11,2519,4,131
"Cupidesulfovibrio oxamicus","Cupidesulfovibrio oxamicus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,374,7,19
"Cupidesulfovibrio termitidis HI1","Cupidesulfovibrio termitidis HI1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"Cupriavidus necator","Cupriavidus necator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cutibacterium acnes","Cutibacterium acnes",9,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,11,0
"Cylindrospermum stagnale","Cylindrospermum stagnale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Cymatolege isodiametrica","Cymatolege isodiametrica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"Cytobacillus eiseniae","Cytobacillus eiseniae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cytobacillus gottheilii","Cytobacillus gottheilii",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Cytobacillus kochii","Cytobacillus kochii",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cytobacillus purgationiresistens","Cytobacillus purgationiresistens",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cytophaga hutchinsonii ATCC 33406","Cytophaga hutchinsonii ATCC 33406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Daeguia caeni","Daeguia caeni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Daejeonella oryzae","Daejeonella oryzae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,0,0
"Dapisostemon apicaliramis","Dapisostemon apicaliramis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Deferribacter abyssi","Deferribacter abyssi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Defluviitalea raffinosedens","Defluviitalea raffinosedens",0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,4,2,0,804,0,28
"Defluviitalea saccharophila","Defluviitalea saccharophila",0,0,0,0,1,0,1,0,0,0,2,0,0,24,0,0,0,0,0,1,1,0,170,0,9
"Dehalobacter restrictus DSM 9455","Dehalobacter restrictus DSM 9455",0,2,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,4,0,9,0,2
"Dellaglioa algida","Dellaglioa algida",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Demetria terragena","Demetria terragena",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Dendrosporobacter quercicolus","Dendrosporobacter quercicolus",1,5,36,0,3,0,2,0,3,0,2,251,13,13,23,0,10,99,60,11,0,0,124,0,26
"Denitrobaculum tricleocarpae","Denitrobaculum tricleocarpae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Denitrovibrio acetiphilus DSM 12809","Denitrovibrio acetiphilus DSM 12809",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Derxia gummosa","Derxia gummosa",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desemzia incerta","Desemzia incerta",2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desnuesiella massiliensis","Desnuesiella massiliensis",6,1,13,0,0,1,0,0,10,0,0,0,19,1,0,0,0,6,0,0,0,1,1,0,1
"Desulfallas arcticus DSM 17038","Desulfallas arcticus DSM 17038",0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfallas thermosapovorans DSM 6562","Desulfallas thermosapovorans DSM 6562",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Desulfitibacter alkalitolerans","Desulfitibacter alkalitolerans",0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,2,0,0
"Desulfitispora alkaliphila","Desulfitispora alkaliphila",0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Desulfitispora elongata","Desulfitispora elongata",0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0
"Desulfitobacterium dehalogenans","Desulfitobacterium dehalogenans",0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,0,0,0,0
"Desulfitobacterium hafniense DCB-2","Desulfitobacterium hafniense DCB-2",0,1,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,1,0,0
"Desulfitobacterium metallireducens","Desulfitobacterium metallireducens",0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,1,0,0,0,0
"Desulfobaculum xiamenense","Desulfobaculum xiamenense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Desulfocucumis palustris","Desulfocucumis palustris",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Desulfocurvus vexinensis DSM 17965","Desulfocurvus vexinensis DSM 17965",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Desulfofarcimen acetoxidans","Desulfofarcimen acetoxidans",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Desulfofarcimen intricatum","Desulfofarcimen intricatum",0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,1,0,1
"Desulfofundulus thermobenzoicus","Desulfofundulus thermobenzoicus",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfohalobium retbaense","Desulfohalobium retbaense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Desulfohalobium retbaense DSM 5692","Desulfohalobium retbaense DSM 5692",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Desulfohalotomaculum halophilum","Desulfohalotomaculum halophilum",0,2,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,0,12,0,0
"Desulfohalotomaculum peckii","Desulfohalotomaculum peckii",0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,3,0,0
"Desulfohalotomaculum tongense","Desulfohalotomaculum tongense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Desulfohalovibrio alkalitolerans","Desulfohalovibrio alkalitolerans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"Desulfomicrobium baculatum DSM 4028","Desulfomicrobium baculatum DSM 4028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Desulfomicrobium hypogeium","Desulfomicrobium hypogeium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Desulfomicrobium orale","Desulfomicrobium orale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Desulfomonile tiedjei DSM 6799","Desulfomonile tiedjei DSM 6799",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfonatronum lacustre DSM 10312","Desulfonatronum lacustre DSM 10312",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Desulfonatronum thiosulfatophilum","Desulfonatronum thiosulfatophilum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Desulfonatronum zhilinae","Desulfonatronum zhilinae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Desulfonispora thiosulfatigenes","Desulfonispora thiosulfatigenes",0,204,0,135,72,0,0,0,0,0,392,1,786,1469,104,10,151,0,0,0,53,0,180,1,131
"Desulforegula conservatrix","Desulforegula conservatrix",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Desulfoscipio gibsoniae DSM 7213","Desulfoscipio gibsoniae DSM 7213",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
"Desulfosporomusa polytropa","Desulfosporomusa polytropa",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfosporosinus acidiphilus SJ4","Desulfosporosinus acidiphilus SJ4",0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,6,0,0
"Desulfosporosinus auripigmenti","Desulfosporosinus auripigmenti",0,2,0,0,0,0,0,0,0,0,2,0,4,3,0,0,0,0,0,0,4,0,2,0,1
"Desulfosporosinus burensis","Desulfosporosinus burensis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0
"Desulfosporosinus fructosivorans","Desulfosporosinus fructosivorans",0,1,0,1,0,0,0,0,0,0,2,0,1,7,0,0,1,1,0,0,11,0,6,0,4
"Desulfosporosinus hippei DSM 8344","Desulfosporosinus hippei DSM 8344",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
"Desulfosporosinus lacus","Desulfosporosinus lacus",0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,0,0,0,0
"Desulfosporosinus meridiei","Desulfosporosinus meridiei",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Desulfosporosinus meridiei DSM 13257","Desulfosporosinus meridiei DSM 13257",0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Desulfosporosinus orientis DSM 765","Desulfosporosinus orientis DSM 765",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,5,0,0
"Desulfosporosinus youngiae DSM 17734","Desulfosporosinus youngiae DSM 17734",0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,6,0,1
"Desulfotomaculum aeronauticum","Desulfotomaculum aeronauticum",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,1
"Desulfotomaculum aquiferis","Desulfotomaculum aquiferis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Desulfotomaculum defluvii","Desulfotomaculum defluvii",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1
"Desulfotomaculum ferrireducens","Desulfotomaculum ferrireducens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Desulfotomaculum hydrothermale","Desulfotomaculum hydrothermale",0,1,0,2,0,0,0,0,0,0,2,0,5,6,0,0,2,0,0,0,0,0,1,0,2
"Desulfotomaculum nigrificans","Desulfotomaculum nigrificans",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Desulfotomaculum profundi","Desulfotomaculum profundi",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Desulfotomaculum reducens MI-1","Desulfotomaculum reducens MI-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
"Desulfotomaculum ruminis","Desulfotomaculum ruminis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Desulfotomaculum ruminis DSM 2154","Desulfotomaculum ruminis DSM 2154",0,1,0,1,0,0,0,0,0,0,0,0,6,10,1,0,0,0,0,0,2,0,4,0,0
"Desulfotomaculum varum","Desulfotomaculum varum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"Desulfovibrio alaskensis","Desulfovibrio alaskensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,1,0
"Desulfovibrio butyratiphilus","Desulfovibrio butyratiphilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Desulfovibrio desulfuricans","Desulfovibrio desulfuricans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,25,1447,6,60
"Desulfovibrio gigas","Desulfovibrio gigas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Desulfovibrio idahonensis","Desulfovibrio idahonensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Desulfovibrio intestinalis","Desulfovibrio intestinalis",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
"Desulfovibrio legallii","Desulfovibrio legallii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Desulfovibrio longreachensis","Desulfovibrio longreachensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,1
"Desulfovibrio magneticus RS-1","Desulfovibrio magneticus RS-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0
"Desulfovibrio marinus","Desulfovibrio marinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Desulfovibrio piger","Desulfovibrio piger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,94,4,6
"Desulfovibrio simplex","Desulfovibrio simplex",0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,5,40,1,2
"Desulfovibrio vietnamensis","Desulfovibrio vietnamensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Desulfovibrio vulgaris","Desulfovibrio vulgaris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,50,1,3
"Desulfovibrio vulgaris str. Hildenborough","Desulfovibrio vulgaris str. Hildenborough",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0
"Desulfuribacillus alkaliarsenatis","Desulfuribacillus alkaliarsenatis",0,6,0,1,0,0,0,0,0,0,7,0,3,4,0,0,1,1,0,2,3,0,8,0,1
"Desulfuribacillus stibiiarsenatis","Desulfuribacillus stibiiarsenatis",0,8,0,0,0,1,0,0,0,0,3,0,10,2,0,0,0,0,0,0,1,1,1,0,1
"Dethiobacter alkaliphilus AHT 1","Dethiobacter alkaliphilus AHT 1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Dethiosulfatibacter aminovorans","Dethiosulfatibacter aminovorans",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,1
"Devosia chinhatensis","Devosia chinhatensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Devosia confluentis","Devosia confluentis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Devosia crocina","Devosia crocina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Devosia enhydra","Devosia enhydra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Devosia geojensis","Devosia geojensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Devosia honganensis","Devosia honganensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Devosia insulae DS-56","Devosia insulae DS-56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1
"Devosia psychrophila","Devosia psychrophila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Devosia riboflavina","Devosia riboflavina",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Devriesea agamarum","Devriesea agamarum",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Dialister micraerophilus","Dialister micraerophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Dialister micraerophilus DSM 19965","Dialister micraerophilus DSM 19965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Dickeya chrysanthemi","Dickeya chrysanthemi",3,0,3,0,0,0,1,0,1,0,0,8,0,0,1,0,0,0,0,0,1,2,0,0,1
"Dickeya dadantii subsp. dieffenbachiae","Dickeya dadantii subsp. dieffenbachiae",0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dielma fastidiosa","Dielma fastidiosa",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9,2,48,0,1
"Domibacillus antri","Domibacillus antri",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dongia mobilis","Dongia mobilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Dorea formicigenerans","Dorea formicigenerans",2,1,4,0,2,0,3,1,11,0,8,0,27,3,3,0,1,22,0,1,11,4,3,7,5
"Dorea longicatena","Dorea longicatena",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,1,1,1
"Draconibacterium orientale","Draconibacterium orientale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1
"Draconibacterium sediminis","Draconibacterium sediminis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Drancourtella massiliensis","Drancourtella massiliensis",1,69,7,6,82,0,6,2,1,0,21,10,43,41,1,1,1,21,2,11,271,1,110,3,15
"Drouetiella fasciculata","Drouetiella fasciculata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Duganella qianjiadongensis","Duganella qianjiadongensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Duncaniella freteri","Duncaniella freteri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,2
"Duodenibacillus massiliensis","Duodenibacillus massiliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,0,18,5
"Dysgonomonas alginatilytica","Dysgonomonas alginatilytica",0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0
"Dysgonomonas capnocytophagoides","Dysgonomonas capnocytophagoides",0,29,242,1,91,0,42,26,48,0,143,2426,2124,313,0,1,85,698,2,263,6,0,5,0,192
"Dysgonomonas gadei ATCC BAA-286","Dysgonomonas gadei ATCC BAA-286",0,11,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,37,0,2
"Dysgonomonas hofstadii","Dysgonomonas hofstadii",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,1,0,1
"Dysgonomonas hofstadii JCM 17038","Dysgonomonas hofstadii JCM 17038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0
"Dysgonomonas macrotermitis","Dysgonomonas macrotermitis",0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
"Dysgonomonas massiliensis","Dysgonomonas massiliensis",0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7,0,1
"Dysgonomonas mossii DSM 22836","Dysgonomonas mossii DSM 22836",0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
